Subject,Task,Body Shape,Peak,InitialPeak,MomentPeak,kneeMrange,SecondPeak
22,PRF,Apple,14.608032857142858,8.599774285714286,0.5311848571428571,0.6540344285714286,0.2637112857142857
23,FF,Apple,23.651870714285714,13.676795714285714,0.9796572857142857,1.3274252857142856,0.5266491428571428
23,OCHA,Apple,16.6974745,1.2344615,0.36385575000000003,0.5858775,0.48767875
23,OCHB,Apple,18.376376,9.3407865,0.7530696666666666,1.0068071666666667,0.36224116666666667
23,OCMA,Apple,19.1686236,4.784692,0.5355920000000001,0.780044,0.3631094
23,OCMB,Apple,17.074589444444445,8.012356666666667,0.6601744444444444,0.9125783333333334,0.29491222222222224
23,PRF,Apple,16.1940775,10.977798,0.42926380000000003,0.7328505,0.41253979999999996
24,FF,Pear,19.518372571428575,15.000408714285713,0.7354148571428573,0.7906095714285714,0.41425057142857147
24,OCHA,Pear,8.949684499999998,4.424282166666667,0.17607266666666666,0.2941475,0.28832033333333335
24,OCHB,Pear,10.657787777777777,10.70728688888889,0.3795121111111111,0.48944366666666667,0.18342222222222224
24,OCMA,Pear,7.09141475,4.4966268750000005,0.089576875,0.239257625,0.28862475
24,OCMB,Pear,9.7172765,9.786492200000001,0.29518710000000004,0.3985478,0.218392
24,PRF,Pear,11.439380222222223,10.373560777777778,0.28594888888888886,0.37901033333333334,0.30875166666666665
25,FF,Apple,14.53232685714286,8.492168142857142,0.75401,1.1340877142857142,0.5834324285714285
25,OCHA,Apple,12.31698325,1.331129,0.4726825,0.65659,0.60466575
25,OCHB,Apple,10.892529142857143,4.553497571428571,0.5758732857142856,0.9089599999999999,0.6015368571428572
25,OCMA,Apple,8.925256166666665,-0.971463,0.4146695,0.6725978333333332,0.5405476666666666
25,OCMB,Apple,10.423615333333332,4.864155,0.5940146666666667,0.9243173333333333,0.5317855
25,PRF,Apple,10.895318000000001,7.177131,0.4537815,0.7540931666666667,0.6300168333333334
28,FF,Pear,18.94442122222222,14.10492588888889,0.9659246666666667,1.3061208888888889,0.413665
28,OCHA,Pear,4.172061142857143,-7.255458714285715,0.15693185714285715,0.471762,0.356404
28,OCHB,Pear,15.710353899999998,10.0648356,0.716308,0.9844404000000001,0.4308223
28,OCMA,Pear,11.358437,-1.344370222222222,0.43889455555555557,0.7325440000000001,0.35393311111111114
28,OCMB,Pear,15.918585999999998,10.390387222222223,0.7256713333333333,0.994739888888889,0.3912822222222222
28,PRF,Pear,16.4991932,11.7284711,0.6185082000000001,0.8848046,0.3919959
29,FF,Apple,27.81806575,13.98866675,0.921931875,1.245372875,0.64075025
29,OCHA,Apple,21.516966888888888,6.185469444444444,0.5604864444444444,0.7229816666666666,0.5511995555555556
29,OCHB,Apple,18.258112750000002,9.818739875,0.557363125,0.7639135,0.53265925
